run_class,backend,shared_layout,bits,phase,target,shots,wide_success,iterative_success,delta_pp,wide_logical_qubits,iterative_logical_qubits,wide_depth,iterative_depth,wide_cz,iterative_cz,notes
three_phase,ibm_fez,true,4,0.125,0010,256,0.6953125,0.91796875,22.265625,5,2,159,60,53,8,"shared region [22,23,16,3,4]"
three_phase,ibm_fez,true,4,0.3125,0101,256,0.7421875,0.8828125,14.0625,5,2,162,64,53,8,"shared region [22,23,16,3,4]"
three_phase,ibm_fez,true,4,0.6875,1011,256,0.71484375,0.90234375,18.75,5,2,161,61,53,8,"shared region [22,23,16,3,4]"
precision_scale,ibm_fez,true,5,0.3125,01010,256,0.62109375,0.8671875,24.609375,6,2,218,79,84,10,"shared region [22,23,16,3,4,2]"
precision_scale,ibm_fez,true,6,0.3125,010100,256,0.5390625,0.86328125,32.421875,7,2,246,86,103,10,"phase has trailing zeros"
full_information,ibm_fez,true,6,0.328125,010101,256,0.41796875,0.8125,39.453125,7,2,276,103,105,12,"alternating six-bit target; shared region [22,23,16,3,4,2,21]"
backend_diagnostic,ibm_kingston,false,4,0.125,0010,64,0.8125,0.046875,-76.5625,5,2,139,60,53,8,"negative diagnostic; backend dependent"
backend_diagnostic,ibm_fez,false,4,0.125,0010,64,0.578125,0.671875,9.375,5,2,135,60,44,8,"same code on Fez recovered iterative QPE"
shared_layout_repeat,ibm_fez,true,4,0.125,0010,256,0.7578125,0.94921875,19.140625,5,2,159,60,53,8,"first shared-layout 256-shot confirmation"
full_information,ibm_fez,true,7,0.3359375,0101011,256,0.390625,0.83203125,44.140625,8,2,333,121,158,14,"alternating seven-bit target; shared region [22,23,16,3,4,2,21,1]"
