bits,trial,n,base_a,bit_index,multiplier,identity,cycles,transpositions,adjacent_basis_swaps,mcx_count,mask_x_count,toffoli_count,cnot_equiv_6_per_toffoli,t_count_7_per_toffoli,permutation_validated
6,0,35,9,0,9,False,3,17,75,75,516,675,4050,4725,True
6,0,35,9,1,11,False,6,24,102,102,698,918,5508,6426,True
6,0,35,9,2,16,False,5,25,119,119,814,1071,6426,7497,True
6,0,35,9,3,11,False,6,24,102,102,698,918,5508,6426,True
6,0,35,9,4,16,False,5,25,119,119,814,1071,6426,7497,True
6,0,35,9,5,11,False,6,24,102,102,698,918,5508,6426,True
6,0,35,9,6,16,False,5,25,119,119,814,1071,6426,7497,True
6,0,35,9,7,11,False,6,24,102,102,698,918,5508,6426,True
6,0,35,9,8,16,False,5,25,119,119,814,1071,6426,7497,True
6,0,35,9,9,11,False,6,24,102,102,698,918,5508,6426,True
6,0,35,9,10,16,False,5,25,119,119,814,1071,6426,7497,True
6,0,35,9,11,11,False,6,24,102,102,698,918,5508,6426,True
6,1,35,16,0,16,False,5,25,119,119,814,1071,6426,7497,True
6,1,35,16,1,11,False,6,24,102,102,698,918,5508,6426,True
6,1,35,16,2,16,False,5,25,119,119,814,1071,6426,7497,True
6,1,35,16,3,11,False,6,24,102,102,698,918,5508,6426,True
6,1,35,16,4,16,False,5,25,119,119,814,1071,6426,7497,True
6,1,35,16,5,11,False,6,24,102,102,698,918,5508,6426,True
6,1,35,16,6,16,False,5,25,119,119,814,1071,6426,7497,True
6,1,35,16,7,11,False,6,24,102,102,698,918,5508,6426,True
6,1,35,16,8,16,False,5,25,119,119,814,1071,6426,7497,True
6,1,35,16,9,11,False,6,24,102,102,698,918,5508,6426,True
6,1,35,16,10,16,False,5,25,119,119,814,1071,6426,7497,True
6,1,35,16,11,11,False,6,24,102,102,698,918,5508,6426,True
6,2,35,11,0,11,False,6,24,102,102,698,918,5508,6426,True
6,2,35,11,1,16,False,5,25,119,119,814,1071,6426,7497,True
6,2,35,11,2,11,False,6,24,102,102,698,918,5508,6426,True
6,2,35,11,3,16,False,5,25,119,119,814,1071,6426,7497,True
6,2,35,11,4,11,False,6,24,102,102,698,918,5508,6426,True
6,2,35,11,5,16,False,5,25,119,119,814,1071,6426,7497,True
6,2,35,11,6,11,False,6,24,102,102,698,918,5508,6426,True
6,2,35,11,7,16,False,5,25,119,119,814,1071,6426,7497,True
6,2,35,11,8,11,False,6,24,102,102,698,918,5508,6426,True
6,2,35,11,9,16,False,5,25,119,119,814,1071,6426,7497,True
6,2,35,11,10,11,False,6,24,102,102,698,918,5508,6426,True
6,2,35,11,11,16,False,5,25,119,119,814,1071,6426,7497,True
6,3,35,27,0,27,False,12,19,86,86,598,774,4644,5418,True
6,3,35,27,1,29,False,12,19,86,86,598,774,4644,5418,True
6,3,35,27,2,1,True,0,0,0,0,0,0,0,0,True
6,3,35,27,3,1,True,0,0,0,0,0,0,0,0,True
6,3,35,27,4,1,True,0,0,0,0,0,0,0,0,True
6,3,35,27,5,1,True,0,0,0,0,0,0,0,0,True
6,3,35,27,6,1,True,0,0,0,0,0,0,0,0,True
6,3,35,27,7,1,True,0,0,0,0,0,0,0,0,True
6,3,35,27,8,1,True,0,0,0,0,0,0,0,0,True
6,3,35,27,9,1,True,0,0,0,0,0,0,0,0,True
6,3,35,27,10,1,True,0,0,0,0,0,0,0,0,True
6,3,35,27,11,1,True,0,0,0,0,0,0,0,0,True
6,4,35,9,0,9,False,3,17,75,75,516,675,4050,4725,True
6,4,35,9,1,11,False,6,24,102,102,698,918,5508,6426,True
6,4,35,9,2,16,False,5,25,119,119,814,1071,6426,7497,True
6,4,35,9,3,11,False,6,24,102,102,698,918,5508,6426,True
6,4,35,9,4,16,False,5,25,119,119,814,1071,6426,7497,True
6,4,35,9,5,11,False,6,24,102,102,698,918,5508,6426,True
6,4,35,9,6,16,False,5,25,119,119,814,1071,6426,7497,True
6,4,35,9,7,11,False,6,24,102,102,698,918,5508,6426,True
6,4,35,9,8,16,False,5,25,119,119,814,1071,6426,7497,True
6,4,35,9,9,11,False,6,24,102,102,698,918,5508,6426,True
6,4,35,9,10,16,False,5,25,119,119,814,1071,6426,7497,True
6,4,35,9,11,11,False,6,24,102,102,698,918,5508,6426,True
7,0,77,74,0,74,False,5,61,315,315,2864,3465,20790,24255,True
7,0,77,74,1,64,False,14,56,288,288,2624,3168,19008,22176,True
7,0,77,74,2,15,False,14,56,288,288,2624,3168,19008,22176,True
7,0,77,74,3,71,False,6,60,306,306,2784,3366,20196,23562,True
7,0,77,74,4,36,False,14,56,288,288,2624,3168,19008,22176,True
7,0,77,74,5,64,False,14,56,288,288,2624,3168,19008,22176,True
7,0,77,74,6,15,False,14,56,288,288,2624,3168,19008,22176,True
7,0,77,74,7,71,False,6,60,306,306,2784,3366,20196,23562,True
7,0,77,74,8,36,False,14,56,288,288,2624,3168,19008,22176,True
7,0,77,74,9,64,False,14,56,288,288,2624,3168,19008,22176,True
7,0,77,74,10,15,False,14,56,288,288,2624,3168,19008,22176,True
7,0,77,74,11,71,False,6,60,306,306,2784,3366,20196,23562,True
7,0,77,74,12,36,False,14,56,288,288,2624,3168,19008,22176,True
7,0,77,74,13,64,False,14,56,288,288,2624,3168,19008,22176,True
