bits,trial,n,truth_p,truth_q,base_a,work_qubits,phase_bits,nominal_controlled_modmul_powers,active_nonidentity_powers,arithmetic_clean_ancillas,wide_total_qubits_incl_arith_ancilla,recycled_total_qubits_incl_arith_ancilla,total_width_reduction,total_cycles,total_basis_transpositions,total_adjacent_basis_swaps,total_mcx,total_mask_x,total_toffoli,total_cnot_equiv_6_per_toffoli,total_t_count_7_per_toffoli,wide_iqft_two_qubit_rotations,recycled_feedback_conditional_rotations,recycled_midcircuit_measurements,recycled_resets,mcx_truth_table_validated,all_modmul_permutations_validated
6,0,35,5,7,9,6,12,12,12,4,22,11,2.0,118,246,1164,1164,8006,10476,62856,73332,66,66,12,12,True,True
6,1,35,5,7,16,6,12,12,12,4,22,11,2.0,120,240,1152,1152,7872,10368,62208,72576,66,66,12,12,True,True
6,2,35,5,7,11,6,12,12,12,4,22,11,2.0,120,240,1152,1152,7872,10368,62208,72576,66,66,12,12,True,True
6,3,35,5,7,27,6,12,12,2,4,22,11,2.0,24,38,172,172,1196,1548,9288,10836,66,66,12,12,True,True
6,4,35,5,7,9,6,12,12,12,4,22,11,2.0,118,246,1164,1164,8006,10476,62856,73332,66,66,12,12,True,True
7,0,77,7,11,74,7,14,14,14,5,26,13,2.0,109,955,4897,4897,44570,53867,323202,377069,91,91,14,14,True,True
7,1,91,7,13,69,7,14,14,14,5,26,13,2.0,381,801,4913,4913,38534,54043,324258,378301,91,91,14,14,True,True
7,2,77,7,11,75,7,14,14,14,5,26,13,2.0,109,955,4883,4883,44370,53713,322278,375991,91,91,14,14,True,True
7,3,91,7,13,73,7,14,14,14,5,26,13,2.0,342,774,4840,4840,38768,53240,319440,372680,91,91,14,14,True,True
7,4,91,7,13,40,7,14,14,14,5,26,13,2.0,351,741,4779,4779,38178,52569,315414,367983,91,91,14,14,True,True
8,0,143,11,13,123,8,16,16,16,6,30,15,2.0,208,2064,12292,12292,125494,159796,958776,1118572,120,120,16,16,True,True
8,1,143,11,13,126,8,16,16,16,6,30,15,2.0,224,2048,12224,12224,123840,158912,953472,1112384,120,120,16,16,True,True
8,2,143,11,13,37,8,16,16,16,6,30,15,2.0,209,2063,12273,12273,125394,159549,957294,1116843,120,120,16,16,True,True
8,3,143,11,13,17,8,16,16,16,6,30,15,2.0,217,2055,12303,12303,125242,159939,959634,1119573,120,120,16,16,True,True
8,4,143,11,13,85,8,16,16,16,6,30,15,2.0,208,2064,12292,12292,125494,159796,958776,1118572,120,120,16,16,True,True
9,0,299,13,23,225,9,18,18,18,7,34,17,2.0,246,5118,34180,34180,408722,512700,3076200,3588900,153,153,18,18,True,True
9,1,377,13,29,85,9,18,18,18,7,34,17,2.0,402,6366,48398,48398,560514,725970,4355820,5081790,153,153,18,18,True,True
9,2,299,13,23,217,9,18,18,18,7,34,17,2.0,247,5117,34273,34273,410246,514095,3084570,3598665,153,153,18,18,True,True
9,3,299,13,23,6,9,18,18,18,7,34,17,2.0,237,5127,34333,34333,411664,514995,3089970,3604965,153,153,18,18,True,True
9,4,377,13,29,60,9,18,18,18,7,34,17,2.0,880,5696,43704,43704,472172,655560,3933360,4588920,153,153,18,18,True,True
