phase_bits,feedback_latency_per_round,hybrid_latency,standard_latency,hybrid_speedup_vs_standard
8,0,295.0,216.0,0.7322033898305085
8,1,303.0,216.0,0.7128712871287128
8,2,311.0,216.0,0.6945337620578779
8,5,335.0,216.0,0.6447761194029851
8,10,375.0,216.0,0.576
8,20,455.0,216.0,0.4747252747252747
8,50,695.0,216.0,0.3107913669064748
8,100,1095.0,216.0,0.19726027397260273
8,250,2295.0,216.0,0.09411764705882353
12,0,443.0,434.0,0.9796839729119639
12,1,455.0,434.0,0.9538461538461539
12,2,467.0,434.0,0.9293361884368309
12,5,503.0,434.0,0.8628230616302187
12,10,563.0,434.0,0.7708703374777975
12,20,683.0,434.0,0.6354319180087847
12,50,1043.0,434.0,0.4161073825503356
12,100,1643.0,434.0,0.2641509433962264
12,250,3443.0,434.0,0.12605286087714201
16,0,591.0,732.0,1.2385786802030456
16,1,607.0,732.0,1.2059308072487644
16,2,623.0,732.0,1.174959871589085
16,5,671.0,732.0,1.0909090909090908
16,10,751.0,732.0,0.9747003994673769
16,20,911.0,732.0,0.8035126234906695
16,50,1391.0,732.0,0.5262401150251618
16,100,2191.0,732.0,0.3340940209949795
16,250,4591.0,732.0,0.1594423872794598
