architecture,phase_bits,native_supported,physical_qbits,classical_bits_per_word,max_distribution_error,serialized_latency,standard_qpe_qubits_required,standard_qpe_serialized_latency,break_even_feedback_per_round,parallel_ipe_lanes
8C0Q,4,False,0,8,,,5,78.0,-17.25,0
6C2Q,4,True,2,6,1.4432899320127035e-15,151.0,5,78.0,-17.25,1
4C4Q,4,True,4,4,1.4432899320127035e-15,151.0,5,78.0,-17.25,2
Host-2Q-QPU,4,True,2,0,1.4432899320127035e-15,1147.0,5,78.0,-17.25,1
8C0Q,8,False,0,8,,,9,216.0,-9.875,0
6C2Q,8,True,2,6,6.661338147750939e-16,303.0,9,216.0,-9.875,1
4C4Q,8,True,4,4,6.661338147750939e-16,303.0,9,216.0,-9.875,2
Host-2Q-QPU,8,True,2,0,6.661338147750939e-16,2295.0,9,216.0,-9.875,1
8C0Q,12,False,0,8,,,13,434.0,-0.75,0
6C2Q,12,True,2,6,3.774758283725532e-15,455.0,13,434.0,-0.75,1
4C4Q,12,True,4,4,3.774758283725532e-15,455.0,13,434.0,-0.75,2
Host-2Q-QPU,12,True,2,0,3.774758283725532e-15,3443.0,13,434.0,-0.75,1
8C0Q,16,False,0,8,,,17,732.0,8.8125,0
6C2Q,16,True,2,6,2.7533531010703882e-14,607.0,17,732.0,8.8125,1
4C4Q,16,True,4,4,2.7533531010703882e-14,607.0,17,732.0,8.8125,2
Host-2Q-QPU,16,True,2,0,2.7533531010703882e-14,4591.0,17,732.0,8.8125,1
